Column1,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
724,0,1,10,3,10,6,5,4,0,2,5,3,8,0,5,4,0,4,0,2,2,0,radicchio red,Vegetables/Fresh vegetables,Vegetables,vegan,5,100,2.76,1.11
173,0,1,7,2,2,3,4,5,0,3,6,5,11,0,2,8,7,5,5,3,1,0,celery,Vegetables/Fresh vegetables,Vegetables,vegan,5,100,2.76,0.69
174,0,1,7,2,2,2,4,4,0,3,4,4,9,0,2,7,7,5,4,3,1,0,celery steamed,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,4,100,2.76,0.69
726,0,1,5,2,0,2,3,4,0,2,8,2,23,0,0,6,1,3,3,3,2,0,radish red,Vegetables/Fresh vegetables,Vegetables,vegan,3,100,2.51,0.53
281,0,1,3,1,3,2,2,2,0,2,3,3,10,0,1,4,0,2,3,1,1,0,cucumber,Vegetables/Fresh vegetables,Vegetables,vegan,1,100,1.26,0.42
280,0,1,3,1,1,2,2,1,0,2,2,0,5,0,1,2,47,1,4,7,4,0,cucumber pickled,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,2,100,3.27,0.74
950,0,1,0,2,5,3,3,4,0,3,5,4,10,0,7,6,15,1,4,3,2,0,tomato juice,Vegetables/Vegetable juices;Non-alcoholic beverages/Fruit and vegetable juices,Fruit,vegan,4,100,2.01,0.69
884,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,5,0,0,sparkling wine champagne,Alcoholic beverages/Wine,Alcoholic beverages,vegan,0,100,1.51,0.32
745,0,0,8,1,1,3,3,2,0,2,3,2,13,0,2,7,0,9,4,2,2,0,rhubarb,Fruit/Fresh fruit,Fruit,vegan,4,100,3.52,0.8
933,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,tea no sugar added,Non-alcoholic beverages/Tea,beverages,vegan,0,100,0,0
236,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,coffee black no sugar added,Non-alcoholic beverages/Coffee,beverages,vegan,0,100,0.25,0.05
800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,126.35,0.55,6.75,0,0,0,salt sea salt fleur de sel,"Various/Salt, spices and flavours",spices and flavours,vegan,3,5,0.14,0.03
1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.05,0.1,0,vinegar,"Various/Salt, spices and flavours",spices and flavours,vegan,0,5,0.05,0.01
801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.35,0.15,0.6,0,0,0,salt sea salt standard white without iodine and fluoride added,"Various/Salt, spices and flavours",spices and flavours,vegan,2,5,0.04,0.01
927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.65,0.05,0,0.1,0.05,0,table salt iodized,"Various/Salt, spices and flavours",spices and flavours,vegan,1,5,0.05,0.01
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.65,0.7,0,8,0,0,salt himalaya salt,"Various/Salt, spices and flavours",spices and flavours,vegan,3,5,2.19,0.46
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,drinking water,Non-alcoholic beverages/Drinking water,beverages,vegan,0,100,0.25,0.05
