,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
1017,4.0,28.000000000000004,11.0,24.0,0.0,21.0,4.0,11.0,0.0,7.000000000000001,5.0,8.0,0.0,0.0,2.0,4.0,0.0,1.0,11.0,10.0,14.000000000000002,4.0,wheat flour bakery type ,"Cereal products, pulses and potatoes/Flour and starch",Cereal,vegan,12,100.0,12.31,2.6
1018,6.0,26.0,19.0,27.0,0.0,41.0,6.0,8.0,0.0,12.0,7.000000000000001,9.0,0.0,0.0,3.0,5.0,0.0,2.0,17.0,15.0,24.0,10.0,wheat flour high ash type ,"Cereal products, pulses and potatoes/Flour and starch",Cereal,vegan,16,100.0,17.09,3.61
1019,5.0,26.0,17.0,26.0,0.0,26.0,5.0,20.0,0.0,7.000000000000001,7.000000000000001,10.0,0.0,0.0,3.0,5.0,0.0,2.0,17.0,16.0,21.0,10.0,wheat flour semi white type ,"Cereal products, pulses and potatoes/Flour and starch",Cereal,vegan,14,100.0,16.33,3.45
1020,4.0,28.000000000000004,11.0,23.0,0.0,16.0,1.0,4.0,0.0,6.0,3.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,4.0,6.0,4.0,wheat flour white type ,"Cereal products, pulses and potatoes/Flour and starch",Cereal,vegan,9,100.0,8.29,1.75
1021,7.000000000000001,24.0,37.0,27.0,0.0,47.0,15.0,33.0,0.0,42.0,17.0,20.0,0.0,0.0,13.0,10.0,1.0,3.0,42.0,33.0,42.0,8.0,wheat flour wholemeal type ,"Cereal products, pulses and potatoes/Flour and starch",Cereal,vegan,18,100.0,26.38,5.57
1022,32.0,14.000000000000002,54.0,57.99999999999999,1.0,199.0,13.0,64.0,0.0,14.000000000000002,48.0,20.0,0.0,0.0,85.0,25.0,0.0,5.0,81.0,46.0,225.0,0.0,wheat germ,"Bread, flakes and breakfast cereals/Flakes, bran and germs;Special foods/Supplements",Cereal,vegan,17,100.0,83.92,17.76
1023,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wheat germ oil,Fats and oils/Oils,Oils,vegan,4,33.33,0.0,0.0
1024,10.0,10.0,20.0,10.0,0.0,11.0,3.0,6.0,0.0,14.000000000000002,9.0,7.000000000000001,1.0,0.0,10.0,4.0,28.999999999999996,2.0,14.000000000000002,10.0,14.000000000000002,0.0,wheat risotto cooked,Prepared dishes/Other savoury dishes,Prepared dishes,dishes_not_vegan,16,100.0,9.05,1.91
1025,0.0,34.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,wheat starch,"Cereal products, pulses and potatoes/Flour and starch;Various/Gelling and binding agents",Cereal,vegan,3,100.0,0.5,0.11
1026,6.0,24.0,44.0,27.0,0.0,46.0,8.0,19.0,0.0,42.0,28.999999999999996,20.0,0.0,0.0,8.0,10.0,1.0,3.0,31.0,21.0,32.0,0.0,wheat wolemeal flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,17,100.0,20.85,4.4
1027,6.0,24.0,44.0,23.0,0.0,46.0,8.0,19.0,0.0,42.0,28.999999999999996,20.0,0.0,0.0,12.0,10.0,1.0,3.0,31.0,21.0,32.0,0.0,wheat soft whole grain,"Cereal products, pulses and potatoes/Other cereal products",Cereal,vegan,17,100.0,19.85,4.19
1028,3.0,20.0,8.0,17.0,0.0,11.0,4.0,4.0,0.0,6.0,6.0,4.0,0.0,0.0,1.0,3.0,45.0,1.0,5.0,4.0,6.0,3.0,white bread,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,10,100.0,7.04,1.48
1029,17.0,23.0,10.0,21.0,0.0,16.0,6.0,10.0,0.0,8.0,9.0,6.0,0.0,0.0,17.0,4.0,45.0,1.0,9.0,9.0,12.0,6.0,white bread from ticino,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,18,100.0,10.8,2.28
1030,1.0,2.0,10.0,3.0,0.0,5.0,5.0,13.0,0.0,3.0,10.0,4.0,65.0,0.0,14.000000000000002,6.0,0.0,6.0,4.0,2.0,2.0,0.0,white cabbage raw,Vegetables/Fresh vegetables,Vegetables,vegan,7,100.0,3.27,0.69
1031,1.0,2.0,9.0,3.0,0.0,4.0,4.0,11.0,0.0,2.0,6.0,3.0,36.0,0.0,14.000000000000002,6.0,0.0,5.0,4.0,1.0,2.0,0.0,white cabbage steamed ,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,6,100.0,2.76,0.58
1032,1.0,2.0,10.0,3.0,0.0,4.0,4.0,11.0,0.0,2.0,7.000000000000001,3.0,36.0,0.0,15.0,6.0,0.0,6.0,3.0,2.0,2.0,0.0,white cabbage stewed  ,Vegetables/Cooked vegetables (incl. cans),Vegetables,vegan,7,100.0,3.27,0.69
1033,9.0,0.0,0.0,38.0,2.0,7.000000000000001,6.0,32.0,25.0,33.0,3.0,0.0,0.0,110.00000000000001,11.0,10.0,1.0,3.0,8.0,3.0,8.0,35.0,whitefish raw,Fish/Fresh water fish,Fish,not_vegan,14,100.0,13.07,8.7
